letter_number,direction,correspondent,date,year
585,to,Mrs. Thrale,"London, October 24, 1778",1778
586,to,Mrs. Thrale,"October 31, 1778",1778
587,to,Captain Langton,"London, October 31, 1778",1778
588,to,Dr. Wheeler,"London, November 2, 1778",1778
589,to,Dr. Edwards,"London, November 2, 1778",1778
590,to,Mrs. Thrale,"NOV. 9, 1778",1778
591,to,Mrs. Thrale,"Nov. 14, 1778",1778
592,to,Mrs. Thrale,"Nov. 21, 1778",1778
593,to,James Boswell,"London, November 21, 1778",1778
594,to,John Nichols,,
595,to,John Nichols,,
596,to,Thomas Fitzmaurice,"man's Magazine for 1785, part i",1785
597,to,John Nichols,"London, December, 1778",1778
598,to,John Hussey,"London, December 29, 1778",1778
599,to,Mrs. Aston,,
600,to,Lucy Porter,"Bolt Court, Fleet Street, Jan. 2, 1779",1779
601,to,Mrs. Garrick,"Feb. 2, 1779",1779
602,to,Miss Reynolds,"Streatham, Feb. 15, 1779",1779
603,to,John Nichols,"London, March i, 1779",1779
604,to,Mrs. Aston,,
605,to,Lucy Porter,"Bolt Court, Fleet Street, March 4, 1779",1779
606,to,Mrs. Thrale,"Bolt Court, March 10, 1779",1779
607,to,James Boswell,"London, March 13, 1779",1779
608,to,Mrs. Thrale,"March 18, 1779",1779
609,to,Thomas Cadell,,
610,to,James Boswell,"Harley Street, April 26, 1779",1779
611,to,John Nichols,"London, May 2, 1779",1779
612,to,John Wesley,"London, May 3, 1779",1779
613,to,Mrs. Aston,"May 4, 1779",1779
614,to,Lucy Porter,"London, May 4, 1779",1779
615,to,Mrs. Thrale,"May 20, 1779",1779
616,to,Mrs. Thrale,"Lichfield, May 29, 1779",1779
617,to,Mrs. Thrale,"Ashbourne, June 14, 1779",1779
618,to,Mrs. Thrale,"Ashbourne, June 14, 1779",1779
619,to,Henry Thrale,"June 15, 1779",1779
620,to,Mrs. Thrale,"Ashbourne, June 17, 1779",1779
621,to,Mrs. Thrale,"Lichfieid, June 19, 1779",1779
622,to,Henry Thrale,"Lichfieid, June 23, 1779",1779
623,to,Mrs. Thrale,"Lichfieid, June 24, 1779",1779
624,to,Miss Reynolds,"London, June 27, 1779",1779
625,to,Charles Dilly,"London, July 13, 1779.",1779
626,to,James Boswell,"London, July 13, 1779",1779
627,to,Dr. Taylor,,
628,to,James Boswell,"Streatham, September 9, 1779",1779
629,to,Mrs. Thrale,"Monday, Oct. 4, 1779-",1779
630,to,Mrs. Thrale,"Oct. 5, 1779",1779
631,to,Mrs. Thrale,"London, Oct. 8, 1779",1779
632,to,Mrs. Thrale,"London, Oct. u, 1779",1779
633,to,Mrs. Thrale,"Oct. 16, 1779",1779
634,to,Miss Reynolds,"Oct. 19, 1779-",1779
635,to,Dr. Taylor,,
636,to,Mrs. Thrale,"October 21, 1779",1779
637,to,Mrs. Thrale,"Lichfieid, August 13, 1777",1777
638,to,Mrs. Aston,,
639,to,James Boswell,"London, October 27, 1779",1779
640,to,Mrs. Thrale,"London, October 28, 1779",1779
641,to,Mrs. Thrale,"London, NOV. 2, 1779",1779
642,to,Mrs. Thrale,"London, Nov. 4, 1779",1779
643,to,Mrs. Aston,,
644,to,Mrs. Thrale,"London, November 7, 1779",1779
645,to,Mrs. Thrale,"London, NOV. 8, 1779",1779
646,to,James Boswell,"London, November 13, 1779",1779
647,to,Mrs. Thrale,"London, Nov. 16, 1779",1779
648,to,Mrs. Thrale,"London, Nov. 20, 1779",1779
649,to,Lucy Porter,,
650,to,Dr. Lawrence,"London, January 20, 1780",1780
651,to,John Nichols,Early in 1780.,1780
652,to,John Nichols,Early in 1780,1780
653,to,John Nichols,LR> Early in 1780.,1780
654,to,Mrs. Thrale,"To MRS' THRALES- April 6, 1780",1780
655,to,James Boswell,"London, April 8, 1780",1780
656,to,Lucy Porter,"To MRS' PORTER '• London, April 8, 1780",1780
657,to,Mrs. Thrale,,
658,to,Mrs. Thrale,"April 15, 1780",1780
659,to,Mrs. Thrale,"London, April 18, 1780",1780
660,to,Dr. Taylor,,
661,to,Dr. Burney,,
662,to,Mrs. Thrale,,
663,to,Mrs. Thrale,,
664,to,Mrs. Thrale,"Bolt-court, Fleet-street, May 7, 1780",1780
665,to,Mrs. Thrale,"Bolt-court, Fleet-street, May 8, 1780",1780
666,to,Mrs. Thrale,"Bolt-court, Fleet-street, May 9, 1780",1780
667,to,Thomas Warton,"Bolt Court, Fleet Street, May 9, 1780",1780
668,to,Joseph Warton,"May 23, 1780",1780
669,to,Mrs. Thrale,"May 23, 1780",1780
670,to,John Nichols,"?May, 1780.",1780
671,to,John Nichols,"May 24, 1780.",1780
672,to,Mrs. Thrale,,
673,to,Dr. Farmer,"London May 25, 1780",1780
674,to,Henry Thrale,"London, May 30, 1780",1780
675,to,Mrs. Thrale,,
676,to,Dr. Taylor,,
677,to,Mrs. Thrale,"London, Friday June 9, 1780",1780
678,to,Mrs. Thrale,"Saturday, June 10, 1780",1780
679,to,Mrs. Thrale,"London, June 12, 1780",1780
680,to,Mrs. Thrale,"London, June 14, 1780",1780
681,to,Mrs. Thrale,"London, June 15, 1780",1780
682,to,Miss Reynolds,"Bolt Court, June 16, 1780",1780
683,to,John Nichols,,
684,to,Mrs. Thrale,"Wednesday, June 21, 1780",1780
685,to,Mrs. Thrale,"London, July 4, 1780",1780
686,to,Mrs. Thrale,"London, July 10, 1780",1780
687,to,Mrs. Thrale,"London, July 27, 1780",1780
688,to,Lord Westcote,"MY LORD, Bolt Court, Fleet Street, July 27, 1780",1780
689,to,Lord Westcote,"MY LORD, Bolt Court, Fleet Street, July 28, 1780",1780
690,to,Mrs. Thrale,"London, August i, 1780",1780
