sender,recipient,date,year,sender_place,recipient_place
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1760-09-02,1760,"Cambridge, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1760-10-28,1760,"London, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1760-12,1760,"London, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1761-05,1761,"London, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1761-09-10,1761,"London, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1762-02-11,1762,"Cambridge, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1762-02-28,1762,"Cambridge, United Kingdom",
"Walpole, Horace, 1717-1797","Gray, Thomas, 1716-1771",1763-01-03,1763,"London, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1763-01-05,1763,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1763-09-12,1763,"Cambridge, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1763-09-19,1763,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1764-01-27,1764,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1764-01-31,1764,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1764-03-18,1764,"Cambridge, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1764-04-25,1764,"Cambridge, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1764-07-10,1764,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1764-08-17,1764,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1764-12-30,1764,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1765-04-14,1765,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1765-11-10,1765,"London, United Kingdom","London, United Kingdom"
"Walpole, Horace, 1717-1797","Gray, Thomas, 1716-1771",1765-11-19,1765,"Paris, France",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1765-12-13,1765,"Cambridge, United Kingdom",
"Walpole, Horace, 1717-1797","Gray, Thomas, 1716-1771",1766-01-25,1766,"Paris, France",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1766-09-24,1766,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1767-12-24,1767,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1768-02-14,1768,"Cambridge, United Kingdom",
"Walpole, Horace, 1717-1797","Gray, Thomas, 1716-1771",1768-02-18,1768,"London, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1768-02-25,1768,"Cambridge, United Kingdom",
"Walpole, Horace, 1717-1797","Gray, Thomas, 1716-1771",1768-02-26,1768,"London, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1768-03-06,1768,"Cambridge, United Kingdom",
"Walpole, Horace, 1717-1797","Gray, Thomas, 1716-1771",1768-03-08,1768,"London, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1769-04,1769,"London, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1769-05-26,1769,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1770-09-12,1770,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1770-09-17,1770,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1771-03-17,1771,"Cambridge, United Kingdom",
"Walpole, Horace, 1717-1797","Gray, Thomas, 1716-1771",1771-03-25,1771,"London, United Kingdom","Cambridge, United Kingdom"
"Walpole, Horace, 4th Earl of Orford","Vesey (née Vesey, later Handcock), Elizabeth",,,,
"Walpole, Horace, 4th Earl of Orford","Hamilton, Mary",1783-10-07,1783,Twickenham,
"Walpole, Horace, 4th Earl of Orford","Hamilton, Mary",1784-05-10,1784,,London
"Walpole, Horace, 4th Earl of Orford","Hamilton, Mary",1785-05-09,1785,,
"Walpole, Horace, 4th Earl of Orford","Hamilton, Mary",1785-06-03,1785,,
"Walpole, Horace, 4th Earl of Orford","Hamilton, Mary",1785-07-01,1785,Twickenham,London
"Walpole, Horace, 4th Earl of Orford","Hamilton, Mary",1785-07-19,1785,Twickenham,London
"Walpole, Horace, 4th Earl of Orford","Hamilton, Mary",1785-08-07,1785,,
"Walpole, Horace, 4th Earl of Orford","Delany (née Granville, formerly Pendarves), Mary",1786-11-28,1786,London,Windsor
"Delany (née Granville, formerly Pendarves), Mary","Walpole, Horace, 4th Earl of Orford",1786-11-30,1786,Windsor,London
"Walpole, Horace, 4th Earl of Orford","Hamilton, Mary",1787-12-22,1787,London,
"Walpole, Horace, 4th Earl of Orford","Hamilton, Mary",1788-04-13,1788,,
"Walpole, Horace, 4th Earl of Orford","Hamilton, Mary",1788-05-07,1788,,
"Walpole, Horace, 4th Earl of Orford","Hamilton, Mary",1788-05-15,1788,London,
"Walpole, Horace, 4th Earl of Orford","Hamilton, Mary",1788-06-11,1788,London,
"Walpole, Horace, 4th Earl of Orford","Hamilton, Mary",1788-07-21,1788,,
"Walpole, Horace, 4th Earl of Orford","Hamilton, Mary",1788-09-22,1788,,
"Hamilton, Mary","Walpole, Horace, 4th Earl of Orford",1788-09-22,1788,,
"Walpole, Horace, 4th Earl of Orford","Hamilton, Mary",1789-12-22,1789,London,"Taxal, near Chapel-en-le-Frith"
"Walpole, Horace, 4th Earl of Orford","Hamilton, Mary",1790-08-25,1790,Twickenham,"Taxal, near Chapel-en-le-Frith"
"Kirkgate, Thomas","Hamilton, Mary",1792-03-29,1792,,London
"Kirkgate, Thomas","Hamilton, Mary",1792-03-30,1792,London,London
"Walpole, Horace, 4th Earl of Orford","Hamilton, Mary",1792-04-05,1792,,
"Walpole, Horace, 4th Earl of Orford","Hamilton, Mary",1792-05-08,1792,,
"Walpole, Horace, 4th Earl of Orford","Hamilton, Mary",1795,1795,,
"Walpole, Horace, 4th Earl of Orford","Hamilton, Mary",1795-06-01,1795,,London
