volume,direction,correspondent,date,year
2,to,Hon. H. S. Conway,"Arlington-street, June 4, 1758",1758
2,to,Hon. H. S. Conway,"June 16, 1758, 2 o'clock noon",1758
2,to,Earl of Strafford,"Arlington-street, June 16, 1758",1758
2,to,"JOHN CHUTH, Esq","Strawberry-hilJ, June 29, 1758",1758
2,to,George Montagu,"Strawberry-hill, July 6, l758",1758
2,to,Rev. Dr. Birch,"Arlington-street, July 8, 1758",1758
2,to,Hon. H. S. Conway,"Strawberry-hill, July 21, 1758",1758
2,to,George Montagu,"Strawberry-hill, Aug. 20, 1758",1758
2,to,Hon. H. S. Conway,"Strawberry-hill, Sept. 2, 1758",1758
2,to,George Montagu,"Arlington-street, Oct. S, 1758",1758
2,to,Lady Hervey,"Arlington-street, Oct. 17, 1758",1758
2,to,George Montagu,"Arlington-street, Oct. 24, 1758",1758
2,to,George Montagu,"Arlington-street, Nov. 26, 1758",1758
2,to,George Montagu,"Arlington-street, Dec. 26, 1758",1758
2,to,Hon. H. S. Conway,"Arlington-street, Jan. 19, 1759",1759
2,to,Hon. H. S. Conway,"Arlington-street, January 28, 1759",1759
2,to,Lady Hervey,"Feb. 20, 1759",1759
2,to,George Montagu,"Arlington-street, April 26, 1759",1759
2,to,George Montagu,"Arlington-street, May 16, 1759",1759
2,to,George Montagu,"June 2, 1759",1759
2,to,Earl of Strafford,"Strawberry-hill, June 12, 1759",1759
2,to,George Montagu,"Strawberry-hill, June 23, 1759",1759
2,to,George Montagu,"Strawberry-hill, July 19, 1759",1759
2,to,George Montagu,"Arlington-street, July 26, 1759",1759
2,to,George Montagu,"Strawberry-hill, Aug. 9, 1759",1759
2,to,Earl of Strafford,"Strawberry-hill, Thursday, 3 o'clock, August 9, 1759",1759
2,to,Earl of Strafford,"Arlington-street, September 13, 1759",1759
2,to,George Montagu,"Strawberry-hill, Saturday, October 11, l759",1759
2,to,Hon. H. S. Conway,"Strawberry-hill, Oct. 18, 1759",1759
2,to,George Montagu,"Strawberry-hill, October 21, 1759",1759
2,to,Earl of Strafford,"Strawberry-hill, Oct. 30, 1759",1759
2,to,Lady Hervey,,
2,to,George Montagu,"Arlington-street, Nov. 8, 1759",1759
2,to,George Montagu,"Arlington-street, Nov. 17, 1759",1759
2,to,George Montagu,"Strawberry-hill, Dec. 23, 1759",1759
2,to,George Montagu,"Arlington-street, January 7, 1760",1760
2,to,Lady Hervey,"Jan. 12, 1760",1760
2,to,George Montagu,"Arlington-street, Jan. 14, 1760",1760
2,to,George Montagu,"Arlington-street, Jan. 28, 1760",1760
2,to,George Montagu,"Arlington-street, March 27, 1760,",1760
2,to,George Montagu,"Arlington-street, April 19, 1760",1760
2,to,George Montagu,"Arlington-street, May. 6, 1760",1760
2,to,Earl of Strafford,"Strawberry-hill, June 7, 1760",1760
2,to,Hon. H. S. Conway,"Strawberry-hill, June 28, 1 760,",1760
2,to,George Montagu,"Strawberry-hill, July 4, 1760",1760
2,to,George Montagu,"Strawberry-hill, July 19, 1760",1760
2,to,George Montagu,"Strawberry-hill, July 20, 1760",1760
2,to,Earl of Strafford,"Strawberry-hill, August 7, 1760",1760
2,to,Hon. H. S. Conway,"Strawberry-hill, August 7, 1760",1760
2,to,Countess of Ailesbury,,
2,to,George Montagu,"Arlington-street, September 1, 1760",1760
2,to,Earl of Strafford,"Strawberry-hill, September 4, 1760",1760
2,to,Hon. H. S. Conway,"Strawberry-hill, September 19, 1760",1760
2,to,Hon. H. S. Conway,,
2,to,George Montagu,"Strawberry-hil), October 2, 1760",1760
2,to,George Montagu,"Strawberry -hill, October 14, 1760",1760
2,to,George Montagu,"Arlington-street, October 25, 1760",1760
2,to,Earl of Strafford,"Arlington-street, October 26, 1760",1760
2,to,George Montagu,,
2,to,George Montagu,"Arlington-street, October 31, 1760",1760
2,to,George Montagu,"Arlington-street, November 4, 1760",1760
2,to,George Montagu,"Arlington-street, November 13, 1760",1760
2,to,George Montagu,"Strawberry-hill, Monday, November 24, 1760",1760
2,to,George Montagu,"Arlin^on-street, Dec, 11, 1760",1760
2,to,George Montagu,"• Arlington-street, Feb. 7, 1761",1761
2,to,Hon. H. S. Conway,"Monday, five o'clock, Feb. 1761",1761
2,to,George Montagu,"Arlington-street, March 7, 1761",1761
2,to,George Montagu,,
2,to,George Montagu,"March 21, 1761",1761
2,to,George Montagu,"Houghton, March 25, 1761",1761
2,to,Hon. H. S. Conway,"Arlington-street, April lo, 1761",1761
2,to,George Montagu,"Arlington-street, April 16, 1761",1761
2,to,George Montagu,"Arlington-street, April 28, 1761",1761
2,to,George Montagu,"Arlington-street, May 5, 1761",1761
2,to,George Montagu,"Strawberry -hill, May 14, 1761",1761
2,to,Countess of Ailesbury,"Strawberry-hill, June 13, 1761",1761
2,to,George Montagu,"Strawberry-hill, June 18, 1761",1761
2,to,George Montagu,"Strawberry-liill, July 5, 1761",1761
2,to,Earl of Strafford,"Strawberry-hill, July 5, 1761",1761
2,to,Hon. H. S. Conway,,
2,to,George Montagu,"Strawberry-hill, Friday night, July 16, 1761",1761
2,to,Countess of Ailesbury,"Strawberry-hill, July 20, 1761",1761
2,to,Earl of Strafford,"Strawberry. hill, July 22, 1761",1761
2,to,George Montagu,"Strawberry- hill, July 22, 1761",1761
2,to,Hon. H. S. Conway,"Strawberry-hi'll, July 23, 1761",1761
2,to,George Montagu,"Arlington- street, July 28, 1761",1761
2,to,Hon. H. S. Conway,,
2,to,George Montagu,"Strawberry-hill, Aug. 20, 1761",1761
2,to,Earl of Strafford,,
2,to,Hon. H. S. Conway,"Arlington-street, Sept. 9, 1761",1761
2,to,George Montagu,"Arlington-street, Sept. 24, 1761",1761
2,to,Hon. H. S. Conway,"Arlington-street, Sept. 25, 1761",1761
2,to,Countess of Ailesbury,"Strawberry-hill, September 27, 1761",1761
2,to,George Montagu,"Arlington-street, Oct. 8, 1761",1761
2,to,George Montagu,"Strawberry-hill, Oct. 10, 1761",1761
2,to,Countess of Ailesbury,"Strawberry-hill, Oct. 10, 1761",1761
2,to,Hon. H. S. Conway,"Arlington-street, October 1?, 1761",1761
2,to,George Montagu,"Strawberry-hill, October 24, 1761",1761
2,to,Hon. H. S. Conway,"Strawberry-hill, October 26, 1761",1761
2,to,George Montagu,"Arlington- street, November 7, 1 76 1",1761
2,to,George Montagu,"Arlington-street, November 28, 1761",1761
2,to,Countess of Ailesbury,"Arlington-street, Nov. 28, 1761",1761
2,to,George Montagu,"Arlington-street, Dec. 8, 1761",1761
2,to,George Montagu,"Arlington-street, Dec. 23, 1761. Past midnight",1761
2,to,George Montagu,"Arlington-street, Dec. 30, 1761",1761
2,to,George Montagu,"Arlington-street, Jan. 26, 1762",1762
2,to,George Montagu,"Arlington-street, Feb. 2, 1762",1762
2,to,George Montagu,"Arlington-street, Feb. 6, 1762",1762
2,to,Rev. Mr. Cole,,
2,to,George Montagu,"Arlington-street, Feb. 22, 1762",1762
2,to,George Montagu,"Arlington-street, Feb. 25, 1762",1762
2,to,Countess of Ailesbury,"Strawberry-hill, March 5, 1762",1762
2,to,George Montagu,"Arlington-street, March 9, 1762,",1762
2,to,George Montagu,"Arlington-street, March 22, 1762",1762
2,to,George Montagu,"Arliugton-street, April 29, 1762",1762
2,to,George Montagu,"Arlington-street, May 14, 1762",1762
2,to,Rev. Mr. Cole,"Strawberry-hill, May 20, 1762",1762
2,to,George Montagu,"Strawberry-hill, May 25, 1762",1762
2,to,George Montagu,,
2,to,George Montagu,"Strawberry-hill, Junes, 1762,",1762
2,to,Rev. Mr. Cole,"Strawberry-hill, July 29, 1762",1762
2,to,Countess of Ailesbury,"Strawberry- hill, July 31, 1762",1762
2,to,Earl of Strafford,"Strawberry -hill, August 5, 1762",1762
2,to,Rev. Mr. Cole,"Strawberry-hill, Aug. 5, 1762",1762
2,to,George Montagu,"Strawberry-hill, August 10, 1762",1762
2,to,Rev. Mr. Cole,"Strawberry-hill, August 19, 1762. *",1762
2,to,Hon. H. S. Conway,"Strawberry-hill, Sept. 9, 1762",1762
2,to,George Montagu,"Strawberry-hill, September 24"", 1762",1762
2,to,Hon. H. S. Conway,"Strawberry-hill, September 28, 1762",1762
2,to,Rev. Mr. Cole,"Strawberry-hill, Sept. 30, 1762",1762
2,to,Lady Hervey,"Strawberry -hill, October 1, 1762",1762
2,to,Hon. H. S. Conway,"Arlington-street, October 4-, 1762",1762
2,to,George Montagu,"Strawberry-hill, October 14, 1762",1762
2,to,Hon. H. S. Conway,"Strawberry-hill, October 29, 1762",1762
2,to,Lady Hervey,"Strawberry-hill, Oct. 31, 1762",1762
2,to,George Montagu,,
2,to,Rev. Mr. Cole,"Strawberry-hill, Nov. 13, 1762",1762
2,to,George Montagu,,
2,to,Rev. Mr. Cole,"Arlington-street, Dec. 23, 1762",1762
2,to,Hon. H. S. Conway,"Strawberry-hill, February 28, 1763",1763
2,to,George Montagu,"Arlington-street, March 29, 1763",1763
2,to,George Montagu,"Arlington -street, April 6, 1763",1763
2,to,George Montagu,,
2,to,George Montagu,"Strawberry -hill, April U, 1763",1763
2,to,George Montagu,"Arlington-street, April 22, 1763",1763
2,to,Hon. H. S. Conway,"Strawberry-hill, May ], 1763",1763
2,to,Hon. H. S. Conway,"Arlington- street, May 6, very late, 1763",1763
2,to,Rev. Mr. Cole,"Strawberry -hill. May 16, 1763",1763
