source,sender,recipient,date,year,sender_place,recipient_place
d'Holbach,"Bahr, Hermann","Hofmannsthal, Hugo von",1891-08-07,1891,Linz,
d'Holbach,"Schnitzler, Arthur","Hofmannsthal, Hugo von",1891-08-11,1891,Wien,[Wien]
d'Holbach,"Schnitzler, Arthur","Hofmannsthal, Hugo von",1891-08-11,1891,Wien,Strobl
d'Holbach,"Schnitzler, Arthur","Hofmannsthal, Hugo von",1891-08-11,1891,Wien,Strobl
d'Holbach,"Hofmannsthal, Hugo von","Schnitzler, Arthur",1891-08-12,1891,Strobl,Wien
d'Holbach,"Hofmannsthal, Hugo von","Schnitzler, Arthur",1891-08-16,1891,Strobl,Wien
d'Holbach,"Bahr, Hermann","Hofmannsthal, Hugo von",1891-08-19,1891,Linz,
d'Holbach,"Hofmannsthal, Hugo von","Schnitzler, Arthur",1891-09-09,1891,Strobl,Wien
d'Holbach,"Bahr, Hermann","Hofmannsthal, Hugo von",1891-09-10,1891,Linz,
d'Holbach,"Hofmannsthal, Hugo von","Bahr, Hermann",1891-09-11,1891,Strobl,
d'Holbach,"Schnitzler, Arthur","Hofmannsthal, Hugo von",1891-09-11,1891,Wien,Wien
d'Holbach,"Bahr, Hermann","Hofmannsthal, Hugo von",1891-09-15,1891,Linz,
d'Holbach,"Hofmannsthal, Hugo von","Bahr, Hermann",1891-09-23,1891,Wien,
d'Holbach,"Bahr, Hermann","Hofmannsthal, Hugo von",1891-10-02,1891,Linz,
d'Holbach,"Hofmannsthal, Hugo von","Bahr, Hermann",1891-10-02,1891,Wien,
d'Holbach,"Bahr, Hermann","Hofmannsthal, Hugo von",1891-10-10,1891,Linz,
d'Holbach,"Hofmannsthal, Hugo von","Bahr, Hermann",1891-10-10,1891,Wien,
d'Holbach,"Bahr, Hermann","Hofmannsthal, Hugo von",1891-10-12,1891,Linz,
d'Holbach,"Hofmannsthal, Hugo von","Bahr, Hermann",1891-10-14,1891,Wien,
d'Holbach,"Schnitzler, Arthur","Hofmannsthal, Hugo von",1891-10-15,1891,,
d'Holbach,"Bahr, Hermann","Hofmannsthal, Hugo von",1891-10-18,1891,Linz,
d'Holbach,"Bahr, Hermann","Hofmannsthal, Hugo von",1891-10-18,1891,Linz,
d'Holbach,"Bahr, Hermann","Hofmannsthal, Hugo von",1891-10-20,1891,Linz,
d'Holbach,"Hofmannsthal, Hugo von","Bahr, Hermann",1891-10-31,1891,Wien,
d'Holbach,"Bahr, Hermann","Hofmannsthal, Hugo von",1891-11-01,1891,Linz,
d'Holbach,"Hofmannsthal, Hugo von","Bahr, Hermann",1891-11-14,1891,Wien,
d'Holbach,"Bahr, Hermann","Hofmannsthal, Hugo von",1891-11-23,1891,Linz,
d'Holbach,"Hofmannsthal, Hugo von","Bahr, Hermann",1891-11-23,1891,Wien,
d'Holbach,"Hofmannsthal, Hugo von","Bahr, Hermann",1891-11-23,1891,Wien,
d'Holbach,"Hofmannsthal, Hugo von","Schnitzler, Arthur",1891-12-04,1891,,[Wien]
d'Holbach,"Hofmannsthal, Hugo von","Schnitzler, Arthur",1891-12-04,1891,Wien,Wien
d'Holbach,"Hofmannsthal, Hugo von","Schnitzler, Arthur",1891-12-06,1891,[Wien],[Wien]
d'Holbach,"Hofmannsthal, Hugo von","Schnitzler, Arthur",1891-12-06,1891,Wien,Wien
d'Holbach,"Bölsche, Wilhelm","Hofmannsthal, Hugo von",1891-12-15,1891,Friedrichshagen,Wien
d'Holbach,"Bahr, Hermann","Hofmannsthal, Hugo von",1891-12-22,1891,Wien,
d'Holbach,"Bahr, Hermann","Hofmannsthal, Hugo von",1891-12-22,1891,Wien,
d'Holbach,"Hofmannsthal, Hugo von","Schnitzler, Arthur",1892-01-01,1892,Wien,Wien
d'Holbach,"Hofmannsthal, Hugo von","Schnitzler, Arthur",1892-01-01,1892,Wien,Wien
