person_a,person_b,weight,year_min,year_max,sources
David Garrick,Thomas King,15,1767,1776,garrick_boaden_1831
David Garrick,Voltaire,3,1764,1776,garrick_boaden_1831
David Garrick,William Smith,33,1769,1776,garrick_boaden_1831
David Garrick,William Warburton,25,1756,1771,garrick_boaden_1831
David Garrick,Willoughby Lacy,14,1774,1778,garrick_boaden_1831
David Hume,Horace Walpole,3,1765,1776,"known_connection,walpole_1820"
David Richter,Frances Burney,2,1800,1800,hemlow_catalogue
Denise-Victoire,Frances Burney,7,1794,1813,hemlow_catalogue
Dominique-Jean baron Larrey,Frances Burney,2,1811,1811,hemlow_catalogue
Dominique-Jean baron Larrey,Frances Burney,2,1811,1811,known_connection
Dorothy (Gregory) Alison,Frances Burney,1,1782,1782,hemlow_catalogue
Dorothy Godwin,Frances Burney,1,1792,1792,hemlow_catalogue
Dorothy Young,Frances Burney,7,1771,1793,hemlow_catalogue
Dr Willis,Frances Burney,1,1791,1791,hemlow_catalogue
Dr. Adams,Samuel Johnson,2,,,johnson_hill
Dr. Beattie,Samuel Johnson,1,1780,1780,johnson_hill
Dr. Benjamin Rush,Joseph Priestley,1,,,priestley
Dr. Dodd,Samuel Johnson,2,1777,1777,johnson_hill
Dr. Edwards,Samuel Johnson,1,1778,1778,johnson_hill
Dr. Farmer,Samuel Johnson,3,1770,1780,johnson_hill
Dr. Gray,Hester Thrale Piozzi,4,1800,1817,piozzi
Dr. Hamilton,Samuel Johnson,5,1783,1784,johnson_hill
Dr. Hawkesworth,Samuel Johnson,1,,,johnson_hill
Dr. Heberden,Samuel Johnson,2,,,johnson_hill
Dr. John Calder,Samuel Johnson,1,1776,1776,johnson_hill
Dr. John Curry,Edmund Burke,4,1778,1779,burke_1844
Dr. John Mudge,Samuel Johnson,1,1783,1783,johnson_hill
Dr. Lawrence,Samuel Johnson,3,1775,1782,johnson_hill
Dr. Marriott,Edmund Burke,2,1766,1766,burke_1844
Dr. Scott,Samuel Johnson,1,1783,1783,johnson_hill
Dr. Staunton,Samuel Johnson,1,1762,1762,johnson_hill
Dr. Thomas Fothergill,Samuel Johnson,1,1775,1775,johnson_hill
Dr. Thomas Patten,Samuel Johnson,1,1781,1781,johnson_hill
Dr. Vyse,Samuel Johnson,5,1777,1781,johnson_hill
Dr. Wetherell,Samuel Johnson,1,1776,1776,johnson_hill
Dr. Wheeler,Samuel Johnson,1,1778,1778,johnson_hill
Dr. William Withering,Joseph Priestley,5,,,priestley
Duc de Duras,Frances Burney,3,1815,1815,hemlow_catalogue
Duc de Luxembourg,Frances Burney,15,1814,1817,hemlow_catalogue
Duc de Montesquiou-Fezensac,Frances Burney,1,1814,1814,hemlow_catalogue
Duchess Dowager of Portland,Frances Burney,1,1783,1783,burney_journal_articles
Duchess of Gloucester,Horace Walpole,8,1771,1783,walpole_last_journals
Duchess of Portland,Elizabeth Montagu,1,1740,1785,emco_montagu
Duchess of Portland,Frances Burney,2,1783,1785,hemlow_catalogue
Duke of Argyle,Samuel Johnson,1,1773,1773,johnson_hill
Duke of Dorset,Edmund Burke,1,1791,1791,burke_1844
Duke of Newcastle,Edmund Burke,1,1767,1767,burke_1844
Duke of Portland,Edmund Burke,6,1775,1794,burke_1844
Duke of Richmond,Edmund Burke,15,1767,1776,burke_1844
Dunbar Fisher,Frances Burney,3,1813,1813,hemlow_catalogue
Durand de Perincz a Madame,Frances Burney,1,,,hemlow_catalogue
Durand de Premorel,Frances Burney,1,,,hemlow_catalogue
Durand de Prémorel,Frances Burney,1,,,hemlow_catalogue
E Paisy,Frances Burney,1,,,hemlow_catalogue
Earl Fitzwilliam,Edmund Burke,7,1782,1796,burke_1844
Earl of Abingdon,Edmund Burke,2,1777,1777,burke_1844
Earl of Bute,Samuel Johnson,2,1762,1762,johnson_hill
Earl of Chesterfield,Samuel Johnson,1,1755,1755,johnson_hill
Earl of Dartmouth,Samuel Johnson,1,1783,1783,johnson_hill
Earl of Hertford,Samuel Johnson,1,,,johnson_hill
Earl of Hillsborough,Edmund Burke,1,1780,1780,burke_1844
Earl of Upper Ossory,Edmund Burke,1,1792,1792,burke_1844
Edm. Burke,James Barry,1,1765,1765,burke_1844
Edmond Burne,Frances Burney,1,,,hemlow_catalogue
Edmond Burwell,Frances Burney,2,,,hemlow_catalogue
Edmond Malone,Edmund Burke,2,1792,1795,burke_1844
Edmond Malone,Samuel Johnson,2,1782,1782,johnson_hill
Edmund Allen,Samuel Johnson,2,1781,1783,johnson_hill
Edmund Burke,Elizabeth Montagu,1,1760,1797,emco_montagu
Edmund Burke,Frances Burney,3,1782,1796,burney_journal_articles
Edmund Burke,French Laurence,2,1791,1796,burke_1844
Edmund Burke,General Burgoyne,1,1781,1781,burke_1844
Edmund Burke,General Lee,1,1774,1774,burke_1844
Edmund Burke,George Crabbe,3,1781,1782,burke_1844
Edmund Burke,George Goold,1,1781,1781,burke_1844
Edmund Burke,Henry Dundas,7,1787,1793,burke_1844
Edmund Burke,Henry Flood,1,1765,1765,burke_1844
Edmund Burke,Henry Grattan,5,1793,1795,burke_1844
Edmund Burke,Hon. John Trevor,1,1791,1791,burke_1844
Edmund Burke,J H. Hutchinson,1,1791,1791,burke_1844
Edmund Burke,J. Monck Mason,1,1765,1765,burke_1844
Edmund Burke,James Barry,1,1775,1775,burke_1844
Edmund Burke,James Boswell,1,1778,1778,burke_1844
Edmund Burke,James Oglethorpe,1,1777,1777,burke_1844
Edmund Burke,John Bourke,1,1776,1776,burke_1844
Edmund Burke,John Bowles,2,1796,1796,burke_1844
Edmund Burke,John Geoghegan,2,1796,1796,burke_1844
Edmund Burke,John Hely Hutchinson,1,1765,1765,burke_1844
Edmund Burke,John Noble,2,1778,1780,burke_1844
Edmund Burke,Joseph Bullock,1,1783,1783,burke_1844
Edmund Burke,Joseph Harford,2,1780,1780,burke_1844
Edmund Burke,Joshua Reynolds,2,1758,1792,"burke_1844,known_connection"
Edmund Burke,Keogh,1,1795,1795,burke_1844
Edmund Burke,King of Poland,2,1792,1793,burke_1844
Edmund Burke,Lord Auckland,1,1791,1791,burke_1844
Edmund Burke,Lord Camden,1,1791,1791,burke_1844
Edmund Burke,Lord Charlemont,1,1791,1791,burke_1844
Edmund Burke,Lord Chief Justice of the Common Fleas,1,1780,1780,burke_1844
Edmund Burke,Lord Grenville,3,1792,1792,burke_1844
Edmund Burke,Lord John Cavendish,2,1775,1790,burke_1844
Edmund Burke,Lord Macartney,1,1784,1784,burke_1844
Edmund Burke,Lord Malmesbury,1,1793,1793,burke_1844
Edmund Burke,Lord North,3,1775,1780,burke_1844
Edmund Burke,Lord Petre,2,1781,1781,burke_1844
Edmund Burke,Lord Stormont,1,1780,1780,burke_1844
Edmund Burke,Lord Thurlow,1,1785,1785,burke_1844
Edmund Burke,Luke Gardiner,1,1778,1778,burke_1844
Edmund Burke,Madame D'Osmond,1,1791,1791,burke_1844
Edmund Burke,Madame du Deffand,1,1774,1774,burke_1844
Edmund Burke,Marchioness of Rockingham,1,1776,1776,burke_1844
Edmund Burke,Marquis de Bouille,1,1791,1791,burke_1844
Edmund Burke,Marquis of Rockingham,49,1766,1782,burke_1844
Edmund Burke,Messrs. Rich. Burke,1,1788,1788,burke_1844
Edmund Burke,"Michael Miller, Esq., Master of Merchants' Hall, Bristol",1,1779,1779,burke_1844
Edmund Burke,Mons. Bourdieu,2,1781,1781,burke_1844
Edmund Burke,Mons. Dupont,2,1789,1790,burke_1844
Edmund Burke,Monsieur (afterwards Louis XVIII.),2,1791,1791,burke_1844
Edmund Burke,Mr. Anthony Dermott,2,1779,1779,burke_1844
Edmund Burke,Mr. Archibald Henderson,1,1766,1766,burke_1844
Edmund Burke,Mr. Patrick Bowie,2,1779,1779,burke_1844
Edmund Burke,Mr. T. King,1,1773,1773,burke_1844
Edmund Burke,Mr. Tighe,1,1781,1781,burke_1844
Edmund Burke,"Mr. Watts, Bristol",1,1780,1780,burke_1844
Edmund Burke,Mr. Wm. Leechman,1,1783,1783,burke_1844
Edmund Burke,Mrs Crewe,7,1794,1797,burke_1844
Edmund Burke,Mrs. Burke,1,1774,1774,burke_1844
Edmund Burke,Mrs. Francis,1,1787,1787,burke_1844
Edmund Burke,Mrs. French,1,1774,1774,burke_1844
Edmund Burke,Mrs. Leadbeater,1,1797,1797,burke_1844
Edmund Burke,Mrs. Mary Leadbeater,1,1792,1792,burke_1844
Edmund Burke,Mrs. Montague,1,1776,1776,burke_1844
Edmund Burke,Philip Francis,7,1778,1790,burke_1844
Edmund Burke,R.B. Sheridan,1,1783,1783,burke_1844
Edmund Burke,Ragonaut Row,1,1783,1783,burke_1844
Edmund Burke,Rev. Dr. Hussey,2,1795,1795,burke_1844
Edmund Burke,Rev. Dr. Leland,6,1765,1774,burke_1844
Edmund Burke,Rev. Dr. Wilson,2,1774,1774,burke_1844
Edmund Burke,Rev. John Erskine,1,1779,1779,burke_1844
Edmund Burke,Rev. Robert Dodge,1,1792,1792,burke_1844
Edmund Burke,Richard Brocklesby,5,1770,1797,"burke_1844,known_connection"
Edmund Burke,Richard Burke Jr,40,1773,1794,burke_1844
Edmund Burke,Richard Burke Sr,3,1783,1791,burke_1844
Edmund Burke,Richard Champion,35,1774,1781,burke_1844
Edmund Burke,Richard Shackleton,21,1744,1785,burke_1844
Edmund Burke,Robert Jephson,1,1765,1765,burke_1844
Edmund Burke,Rt. Hon. Edm. Sexton Pery,4,1778,1778,burke_1844
Edmund Burke,Rt. Hon. Wm. Pitt,2,1794,1794,burke_1844
Edmund Burke,Samuel Johnson,1,1758,1784,known_connection
Edmund Burke,"Samuel Span, Esq., Master of Merchants' Hall, Bristol",1,1778,1778,burke_1844
Edmund Burke,"Sir A I. Elton, Town Clerk of Bristol",3,1777,1780,burke_1844
Edmund Burke,Sir Gilbert Elliot,1,1793,1793,burke_1844
Edmund Burke,Sir Thomas Rumbold,1,1781,1781,burke_1844
Edmund Burke,Sir W W. Wynne,1,1780,1780,burke_1844
Edmund Burke,Sir Win. Jones,1,1784,1784,burke_1844
Edmund Burke,Sir Win. Scott,1,1791,1791,burke_1844
Edmund Burke,Sir Wm. Meredith,1,1767,1767,burke_1844
Edmund Burke,Sylvester Douglas,1,1793,1793,burke_1844
Edmund Burke,Thomas Burgh,1,1780,1780,burke_1844
Edmund Burke,Thomas Hussey,22,1790,1797,burke_1844
Edmund Burke,Vicomte de Cice,1,1794,1794,burke_1844
Edmund Burke,Viscount Courtenay,1,1780,1780,burke_1844
Edmund Burke,Warren Hastings,1,1788,1795,known_connection
Edmund Burke,William Burke,3,1782,1793,burke_1844
Edmund Burke,William Fawkener,1,1788,1788,burke_1844
Edmund Burke,William Gerard Hamilton,6,1763,1765,burke_1844
Edmund Burke,William Jones,5,1779,1783,burke_1844
Edmund Burke,William Robertson,1,1777,1777,burke_1844
Edmund Burke,William Weddell,1,1792,1792,burke_1844
Edmund Burke,William Wilberforce,1,1787,1797,known_connection
Edmund Burke,William Windham,21,1789,1797,burke_1844
Edmund Burke,Wm. Baker,4,1775,1777,burke_1844
Edmund Burke,Wm. Burgh,1,1775,1775,burke_1844
Edmund Burke,Wm. Dowdeswell,3,1771,1772,burke_1844
Edmund Burke,Wm. Eden,3,1776,1782,burke_1844
Edmund Burke,Wm. Smith,1,1795,1795,burke_1844
Edmund Burke,a Committee at Bristol,1,1775,1775,burke_1844
Edmund Burke,a French Lady,1,1791,1791,burke_1844
Edmund Burke,"a Member of the Bell Club, Bristol",1,1777,1777,burke_1844
Edmund Burke,a Prussian Gentleman,1,1772,1772,burke_1844
Edmund Burke,a gentleman in Philadelphia,1,1777,1777,burke_1844
Edmund Burke,the Bishop of Chester,3,1771,1774,burke_1844
Edmund Burke,the Chev. de la Bintinnaye,2,1792,1792,burke_1844
Edmund Burke,the Countess of Inchiquin,1,1792,1792,burke_1844
Edmund Burke,the Lord Mayor of Dublin (Rt. Hon. Francis Featherstone),1,1767,1767,burke_1844
Edmund Burke,the Mayor of Bristol,1,1779,1779,burke_1844
Edmund Burke,the Speaker of the House of Commons,1,1788,1788,burke_1844
Edmund Hector,Samuel Johnson,10,1776,1784,johnson_hill
Edmund Jerningham,Frances Burney,1,1794,1794,hemlow_catalogue
Edward A Chaplin,Frances Burney,1,1830,1830,hemlow_catalogue
Edward Cave,Samuel Johnson,12,1734,1756,johnson_hill
Edward Foss,Frances Burney,4,1818,1818,hemlow_catalogue
Edward Jacob,Frances Burney,1,1821,1821,hemlow_catalogue
Edward Jerningham,Frances Burney,2,1786,1794,hemlow_catalogue
Edward Lye,Samuel Johnson,1,,,johnson_hill
Edward Maltass,Frances Burney,1,,,hemlow_catalogue
Edward Mangin,Frances Burney,1,,,hemlow_catalogue
Edward Richard Burney,Frances Burney,12,1800,1801,hemlow_catalogue
Eleanore princess d'Henin,Frances Burney,2,1818,1818,hemlow_catalogue
Eleonore,Frances Burney,3,1814,1818,hemlow_catalogue
Elisabeth-Charlotte,Frances Burney,1,,,hemlow_catalogue
Eliza de Feuillide,Warren Hastings,2,1761,1795,known_connection
Elizabeth (Vesey) Handcock,Frances Burney,3,1783,1787,hemlow_catalogue
Elizabeth Allen Burney,Frances Burney,13,1768,1796,hemlow_catalogue
Elizabeth Carter,Elizabeth Montagu,1,1740,1800,emco_montagu
Elizabeth Johnson,Frances Burney,1,1786,1786,hemlow_catalogue
Elizabeth Juliana Schwellenberg,Frances Burney,5,1792,1792,hemlow_catalogue
Elizabeth Meeke,Frances Burney,2,1776,1776,hemlow_catalogue
Elizabeth Meeke,Isabella Strange,1,1775,1777,waterfield_thesis
Elizabeth Meeke,Samuel Meeke,1,1777,1793,waterfield_thesis
Elizabeth Montagu,Elizabeth Vesey,1,1750,1791,emco_montagu
Elizabeth Montagu,Frances Burney,3,1780,1792,burney_journal_articles
Elizabeth Montagu,Frances Burney,7,1780,1790,hemlow_catalogue
Elizabeth Montagu,Frances Reynolds,1,1770,1800,emco_montagu
Elizabeth Montagu,Hannah More,2,1775,1800,"emco_montagu,known_connection"
Elizabeth Montagu,Hester Chapone,1,1760,1790,known_connection
Elizabeth Montagu,Hester Thrale Piozzi,1,1770,1800,emco_montagu
Elizabeth Montagu,Horace Walpole,1,1760,1800,emco_montagu
Elizabeth Montagu,James Beattie,5,1770,1790,montagu_blunt
Elizabeth Montagu,James Boswell,1,1770,1795,emco_montagu
Elizabeth Montagu,Joshua Reynolds,1,1760,1792,emco_montagu
Elizabeth Montagu,Leonard Smelt,1,1770,1800,emco_montagu
Elizabeth Montagu,Lord Bath,30,1762,1764,montagu_blunt
Elizabeth Montagu,Lord Kames,5,1762,1775,montagu_blunt
Elizabeth Montagu,Lord Lyttelton,25,1762,1773,montagu_blunt
Elizabeth Montagu,Mary Hamilton,1,1770,1800,emco_montagu
Elizabeth Montagu,Messenger Monsey,20,1762,1783,montagu_blunt
Elizabeth Montagu,Mrs Vesey,40,1762,1800,montagu_blunt
Elizabeth Montagu,Samuel Johnson,1,1760,1784,known_connection
Elizabeth Montagu,Sarah Scott,1,1740,1795,emco_montagu
Elizabeth Montagu,William Robertson,1,1760,1793,emco_montagu
Elizabeth Pleydell,Frances Burney,1,1769,1769,burney_journal_articles
Elizabeth Vesey,Horace Walpole,1,,,correspsearch
Elizabethe-Charlotte,Frances Burney,1,,,hemlow_catalogue
Elizaveta,Frances Burney,1,,,hemlow_catalogue
Elizaveta d'Ivanoff,Frances Burney,1,1814,1814,hemlow_catalogue
Esther Burney,Frances Burney,70,1788,1827,hemlow_catalogue
Esther Burney,Madame Saintmard,1,1764,1764,lonsdale_lynn
Esther Young,Frances Burney,1,,,hemlow_catalogue
Etiennette,Frances Burney,9,1796,1819,hemlow_catalogue
Eva Garrick,Frances Burney,1,,,hemlow_catalogue
F A. Barnard,Samuel Johnson,1,1768,1768,johnson_hill
FBA journal,Frances Burney,1,1819,1819,hemlow_catalogue
Felicite,Frances Burney,3,1816,1816,hemlow_catalogue
Florentin de Latour Maubourg,Frances Burney,2,,,hemlow_catalogue
Foundling Hospital,Frances Burney,1,,,hemlow_catalogue
Frances (Glanville) Boscawen,Frances Burney,2,,,hemlow_catalogue
Frances (Savery) de Poigneu,Frances Burney,1,1808,1808,hemlow_catalogue
Frances (Sayer) de Pontgeu,Frances Burney,1,,,hemlow_catalogue
Frances Bowdler,Frances Burney,13,1786,1821,hemlow_catalogue
Frances Brooke,Frances Burney,2,1783,1783,hemlow_catalogue
Frances Bunsen,Frances Burney,3,1813,1814,hemlow_catalogue
Frances Burney,Frances Elizabeth,1,1818,1818,hemlow_catalogue
Frances Burney,Frances Matthews,1,1790,1790,hemlow_catalogue
Frances Burney,Frances Raper,6,1816,1816,hemlow_catalogue
Frances Burney,Francois,1,,,hemlow_catalogue
Frances Burney,Francois Sastres,2,,,hemlow_catalogue
Frances Burney,Francois de la Rochefoucauld de Liancourt,1,1793,1793,hemlow_catalogue
Frances Burney,Frederic Seraphin,1,1793,1793,hemlow_catalogue
Frances Burney,Frederic-Seraphin,1,1798,1798,hemlow_catalogue
Frances Burney,Frederica Locke,83,1784,1824,hemlow_catalogue
Frances Burney,Frederica Montagu,1,1788,1788,burney_journal_articles
Frances Burney,Gabriel,1,1803,1803,hemlow_catalogue
Frances Burney,Gasparo Pacchierotti,18,1781,1783,hemlow_catalogue
Frances Burney,George Edmond Hay,1,1819,1819,hemlow_catalogue
Frances Burney,George Francis Jr,1,,,hemlow_catalogue
Frances Burney,George Hay,7,1818,1818,hemlow_catalogue
Frances Burney,George Owen Cambridge,12,1817,1836,hemlow_catalogue
Frances Burney,Georgiana Waddington,129,1705,1824,hemlow_catalogue
Frances Burney,Germaine de Stael,1,1793,1793,known_connection
Frances Burney,Gilbert Gerard,1,1778,1778,hemlow_catalogue
Frances Burney,Gilles Ragon,1,,,hemlow_catalogue
Frances Burney,Hannah Hannah Macsale,1,1825,1825,hemlow_catalogue
Frances Burney,Hannah More,5,1782,1786,hemlow_catalogue
Frances Burney,Harriet,2,,,hemlow_catalogue
Frances Burney,Harriet Bowdler,5,1815,1818,hemlow_catalogue
Frances Burney,Harriet Wilson,4,1821,1822,hemlow_catalogue
Frances Burney,Harriet de Boinville,4,1793,1814,hemlow_catalogue
Frances Burney,Harriett Maltby,1,1818,1818,hemlow_catalogue
Frances Burney,Harriot Winder,1,1822,1822,hemlow_catalogue
Frances Burney,Harvey (Hervey) Countess of,2,1814,1814,hemlow_catalogue
Frances Burney,Hector Chapone,5,1798,1800,hemlow_catalogue
Frances Burney,Henrietta North,8,1778,1782,hemlow_catalogue
Frances Burney,Henriette de Maurville,4,1815,1824,hemlow_catalogue
Frances Burney,Henry Hoare,1,,,hemlow_catalogue
Frances Burney,Henry Hoare Bankers,1,1827,1827,hemlow_catalogue
Frances Burney,Henry Raper,2,1819,1819,hemlow_catalogue
Frances Burney,Henry Thrale,3,1780,1780,hemlow_catalogue
Frances Burney,Herrick Hoare,1,,,hemlow_catalogue
Frances Burney,Hester Chapone,11,1783,1800,hemlow_catalogue
Frances Burney,Hester Thrale Piozzi,541,1778,1821,hemlow_catalogue|piozzi
Frances Burney,Horace Walpole,1,,,hemlow_catalogue
Frances Burney,Horton (Male) Chapman,1,1783,1783,hemlow_catalogue
Frances Burney,Isabella Strange,3,1778,1778,hemlow_catalogue
Frances Burney,J-F Loisiel,2,,,hemlow_catalogue
Frances Burney,Jacob Bryant,13,1786,1790,hemlow_catalogue
Frances Burney,Jacques-Louis David,1,1812,1812,waterfield_thesis
Frances Burney,James (Campbell) Smith,1,1789,1789,hemlow_catalogue
Frances Burney,James Burney,21,1775,1817,hemlow_catalogue
Frances Burney,James Burney,5,1772,1821,known_connection
Frances Burney,James Hutton,10,1775,1777,hemlow_catalogue
Frances Burney,Jane Cholmeley,1,1788,1788,hemlow_catalogue
Frances Burney,Jane Smelt,6,1787,1788,hemlow_catalogue
Frances Burney,Jean-Baptiste Le Chevalier,2,1794,1794,hemlow_catalogue
Frances Burney,Jean-Baptiste Le Chevalier Le Ministre,1,1794,1794,hemlow_catalogue
Frances Burney,Jean-Baptiste de Boinville,1,,,hemlow_catalogue
Frances Burney,Jean-Baptiste-Gabriel Bazille,3,,,hemlow_catalogue
Frances Burney,Jean-Gabriel Peltier,4,1791,1792,hemlow_catalogue
Frances Burney,Jean-Jacques-Basilion,1,,,hemlow_catalogue
Frances Burney,Jean-Jacques-Basillen,1,,,hemlow_catalogue
Frances Burney,Jean-Philippe de Boisgelin,1,,,hemlow_catalogue
Frances Burney,Jean-Pierre,2,1808,1811,hemlow_catalogue
Frances Burney,Jean-Pierre-Basilien,1,,,hemlow_catalogue
Frances Burney,Jean-Pierre-Basillen,1,,,hemlow_catalogue
Frances Burney,Jenny Bentham,1,,,hemlow_catalogue
Frances Burney,Johanna Christina Huttner,2,,,hemlow_catalogue
Frances Burney,John Bowman,1,,,hemlow_catalogue
Frances Burney,John Graham,1,,,hemlow_catalogue
Frances Burney,John Jebb,2,1832,1832,hemlow_catalogue
Frances Burney,John Kay,1,1820,1820,hemlow_catalogue
Frances Burney,John Young,1,1783,1783,hemlow_catalogue
Frances Burney,Joseph,1,,,hemlow_catalogue
Frances Burney,Joshua Reynolds,1,1788,1788,burney_journal_articles
Frances Burney,Julia Angerstein,2,,,hemlow_catalogue
Frances Burney,L M. Barral,3,,,hemlow_catalogue
Frances Burney,Lady Bute,2,1814,1814,hemlow_catalogue
Frances Burney,Lady Carmarthen,1,1788,1788,hemlow_catalogue
Frances Burney,Lady Charlotte Fitzgerald,3,1817,1817,hemlow_catalogue
Frances Burney,Lady Hales,6,1770,1776,hemlow_catalogue
Frances Burney,Lady Lucy Foley,6,1812,1817,hemlow_catalogue
Frances Burney,Lady Mary Duncan,1,1787,1787,hemlow_catalogue
Frances Burney,Lady Rothes,3,1787,1798,hemlow_catalogue
Frances Burney,Lady Templetown,17,1786,1823,hemlow_catalogue
Frances Burney,Laurent,3,1814,1814,hemlow_catalogue
Frances Burney,Leonard Smelt,1,1787,1787,burney_journal_articles
Frances Burney,Lord George Pigot,2,1769,1770,burney_journal_articles
Frances Burney,Louis,54,1790,1811,hemlow_catalogue
Frances Burney,Louis Bonne,3,1793,1793,hemlow_catalogue
Frances Burney,Louis de Narbonne,4,1795,1809,hemlow_catalogue
Frances Burney,Louis de Narbonne,1,1793,1793,waterfield_thesis
Frances Burney,Louis-Alexandre Berthier,3,1801,1801,hemlow_catalogue
Frances Burney,Louise (Farina-Fiorelli) Duchesse d'Orivel,1,,,hemlow_catalogue
Frances Burney,Louise-Josephine,3,1815,1815,hemlow_catalogue
Frances Burney,Lucrezia Agujari,1,1775,1775,burney_journal_articles
Frances Burney,Lucy Burney,1,,,hemlow_catalogue
Frances Burney,M d'A (L),1,,,hemlow_catalogue
Frances Burney,M d'A thème,1,,,hemlow_catalogue
Frances Burney,M d'A with PS by AA,1,,,hemlow_catalogue
Frances Burney,Madame Campan,1,1802,1812,known_connection
Frances Burney,Madame Campan,1,1802,1812,waterfield_thesis
Frances Burney,Madame de Souza,1,1802,1802,burney_journal_articles
Frances Burney,Madame de Stael,5,1793,1802,hemlow_catalogue
Frances Burney,Madame de Tessé,2,1802,1806,burney_journal_articles
Frances Burney,Marc-Etienne,1,,,hemlow_catalogue
Frances Burney,Margaret (Cooper) DeLuc,1,1789,1789,hemlow_catalogue
Frances Burney,Margaret Planta,1,1802,1802,burney_journal_articles
Frances Burney,Margaret Planta,4,1802,1802,hemlow_catalogue
Frances Burney,Maria (Edgeworth) Beddoes,1,,,hemlow_catalogue
Frances Burney,Maria Edgeworth,1,1813,1813,hemlow_catalogue
Frances Burney,Maria Rishton,109,1765,1812,hemlow_catalogue
Frances Burney,Marianne Bourdois,26,1793,1839,hemlow_catalogue
Frances Burney,Marie de Lafayette,1,1818,1818,hemlow_catalogue
Frances Burney,Marie de Maisonneuve,175,1798,1838,hemlow_catalogue
Frances Burney,Marie-Alexandre Lenoir,2,,,hemlow_catalogue
Frances Burney,Marie-Charlotte Bontemps,4,1795,1803,hemlow_catalogue
Frances Burney,Marie-Elisabethe de La Fite,2,1790,1790,hemlow_catalogue
Frances Burney,Marie-Elisabethe de La Fite,2,1786,1791,known_connection
Frances Burney,Marie-Louise,4,,,hemlow_catalogue
Frances Burney,Marie-Pierre de Grandmaison,2,1816,1816,hemlow_catalogue
Frances Burney,Marie-Tereze (Poniatowski),1,1814,1814,hemlow_catalogue
Frances Burney,Marie-Tresse (Poniakowitz ),2,1814,1814,hemlow_catalogue
Frances Burney,Marquis de Lafayette,33,1792,1816,hemlow_catalogue
Frances Burney,Marquis de Lally-Tollendal,36,1792,1822,hemlow_catalogue
Frances Burney,Martin Charles Burney,6,1814,1814,hemlow_catalogue
Frances Burney,Mary (Palmer) O'Brien Marchioness of Thomond,3,1791,1791,hemlow_catalogue
Frances Burney,Mary Ann Smith,1,1836,1836,hemlow_catalogue
Frances Burney,Mary Berry,2,1793,1812,berry_lewis
Frances Burney,Mary Bruce Strange,3,,,hemlow_catalogue
Frances Burney,Mary Delany,5,1783,1788,burney_journal_articles
Frances Burney,Mary Delany,4,1785,1787,hemlow_catalogue
Frances Burney,Mary Dickenson,10,1783,1785,hemlow_catalogue
Frances Burney,Mary Gwynn,2,1797,1797,hemlow_catalogue
Frances Burney,Mathieu,3,1805,1805,hemlow_catalogue
Frances Burney,Miss Bron,1,,,hemlow_catalogue
Frances Burney,Mme Bion,2,,,hemlow_catalogue
Frances Burney,Mme de la Grange,4,1815,1815,hemlow_catalogue
Frances Burney,Mrs Crewe,4,1814,1814,hemlow_catalogue
Frances Burney,Mrs Justices Prince,1,,,hemlow_catalogue
Frances Burney,Mrs Ord,2,1786,1791,known_connection
Frances Burney,Mrs Waddington,1,1815,1815,burney_journal_articles
Frances Burney,Mus H Haley,1,,,hemlow_catalogue
Frances Burney,Napoleon Bonaparte,1,1802,1802,hemlow_catalogue
Frances Burney,Nathalie (de Montesant),1,,,hemlow_catalogue
Frances Burney,Nathalie (de Mortemart),1,,,hemlow_catalogue
Frances Burney,Nichols,1,,,hemlow_catalogue
Frances Burney,Norbury Phillips,1,1800,1800,hemlow_catalogue
Frances Burney,Petronille-Jacoba (Van Ryssel) de Latour-Maubourg,2,1815,1822,hemlow_catalogue
Frances Burney,Philippe (Philips) Raper,1,,,hemlow_catalogue
Frances Burney,Philippe de Noailles,5,1793,1793,hemlow_catalogue
Frances Burney,Pierre Victor Malouet,1,,,hemlow_catalogue
Frances Burney,Pierre Victor Malouet,1,1793,1793,known_connection
Frances Burney,Pont Baptiste Council,1,1789,1789,hemlow_catalogue
Frances Burney,Precourt Bazille,2,1803,1803,hemlow_catalogue
Frances Burney,Princess (Krousée) / Former,1,1817,1817,hemlow_catalogue
Frances Burney,Princess Augusta,9,1819,1825,hemlow_catalogue
Frances Burney,Princess Elizabeth,103,1813,1832,hemlow_catalogue
Frances Burney,Princess Elizabeth eff,1,,,hemlow_catalogue
Frances Burney,Princess Knowles,2,1817,1817,hemlow_catalogue
Frances Burney,Princess Mary,48,1816,1832,hemlow_catalogue
Frances Burney,Princess Sophia,181,1818,1837,hemlow_catalogue
Frances Burney,Princess d'Arblay a vieuse,1,1819,1819,hemlow_catalogue
Frances Burney,Princess of Maidison,1,1820,1820,hemlow_catalogue
Frances Burney,Princesse d'Hénin,3,1802,1806,burney_journal_articles
Frances Burney,Queen Charlotte,8,1794,1817,hemlow_catalogue
Frances Burney,R.B. Sheridan,2,1779,1788,burney_journal_articles
Frances Burney,RA Keith (Payne) Burney,2,1821,1821,hemlow_catalogue
Frances Burney,Raoul Walpole,1,,,hemlow_catalogue
Frances Burney,Richard,1,,,hemlow_catalogue
Frances Burney,Richard Bentley,5,1835,1835,hemlow_catalogue
Frances Burney,Richard Owen Cambridge,6,1785,1790,hemlow_catalogue
