person_a,person_b,weight,year_min,year_max,sources
Charles Burney,Dante Bartheleman,1,1776,1776,hemlow_catalogue
Charles Burney,David Garrick,12,1758,1779,hemlow_catalogue
Charles Burney,David Hume,2,1764,1766,"hemlow_catalogue,waterfield_thesis"
Charles Burney,Denis Diderot,8,1771,1777,hemlow_catalogue
Charles Burney,Dorothy Young,2,,,hemlow_catalogue
Charles Burney,Dr James Lind,3,1774,1775,hemlow_catalogue
Charles Burney,Dr Seward,1,1776,1776,waterfield_thesis
Charles Burney,Dr Thomas Bever,1,1768,1770,waterfield_thesis
Charles Burney,Duke of Norfolk,1,1790,1790,hemlow_catalogue
Charles Burney,Earl Whitworth,2,1774,1774,hemlow_catalogue
Charles Burney,Earl of Ailesbury,2,1807,1807,hemlow_catalogue
Charles Burney,Earl of Guilford,2,1792,1804,hemlow_catalogue
Charles Burney,Earl of Mornington,6,1773,1777,hemlow_catalogue
Charles Burney,Earl of Sandwich,2,1762,1774,hemlow_catalogue
Charles Burney,Edmond Ayrton,1,,,hemlow_catalogue
Charles Burney,Edmond Malone,5,1804,1804,hemlow_catalogue
Charles Burney,Edmund Burke,1,,,hemlow_catalogue
Charles Burney,Edward Burke,1,,,hemlow_catalogue
Charles Burney,Edward Miller,2,1796,1796,hemlow_catalogue
Charles Burney,Elizabeth Allen Burney,2,1762,1764,hemlow_catalogue
Charles Burney,Elizabeth Ironmonger,1,,,hemlow_catalogue
Charles Burney,Elizabeth LeNoir,1,1807,1807,hemlow_catalogue
Charles Burney,Elizabeth Meeke,2,1791,1791,hemlow_catalogue
Charles Burney,Elizabeth Montagu,5,1773,1800,burney_journal_articles
Charles Burney,Elizabeth Sheridan,2,,,hemlow_catalogue
Charles Burney,Ella Cornelia Knight,1,1800,1800,hemlow_catalogue
Charles Burney,Esther Burney,3,1752,1807,hemlow_catalogue
Charles Burney,Executors of Sir Joshua Reynolds,1,1791,1791,hemlow_catalogue
Charles Burney,Felice de Giardini,1,1774,1774,hemlow_catalogue
Charles Burney,Ferdinando Bertoni,1,1780,1780,hemlow_catalogue
